"","tSNE_1","tSNE_2"
"cell219_1",-3.69125857680365,23.7570952929869
"cell220_1",-5.9822716541711,-26.399764794532
"cell221_1",-19.5741531013104,-15.7978246158423
"cell222_1",-13.5362992355074,-8.83216937047534
"cell223_1",-1.94232465957134,-7.09192033940975
"cell224_1",-3.7990707583665,-28.0148614556991
"cell225_1",-20.6584823586519,14.9024311185331
"cell226_1",-12.2157923894183,19.1487270793434
"cell227_1",-9.60466194305133,14.7403567799642
"cell228_1",-17.5208902445515,-7.93953917012007
"cell229_1",9.38128017620645,2.13402320881379
"cell230_1",-16.2063181430488,-22.2801946774158
"cell231_1",-41.912862662631,8.59908302354417
"cell232_1",-40.0995461721627,-0.434404989388556
"cell233_1",25.3165830832697,13.8215211450145
"cell234_1",10.0224686500873,5.08433152493616
"cell235_1",30.5800454660196,4.57357572898315
"cell236_1",-3.52472218639178,-26.8445458691426
"cell237_1",10.3428498709255,-12.3004217133207
"cell238_1",0.350633313470291,17.1262880040706
"cell239_1",-18.8314101185479,34.7116085113353
"cell240_1",12.6512227853317,31.9256192325038
"cell241_1",-16.0891487552964,-18.5196456758233
"cell242_1",11.6444556796243,25.0425872596301
"cell243_1",15.5822327359885,35.5551974206957
"cell244_1",3.19184724785047,1.50797489327221
"cell245_1",34.6193176659726,10.4506872390996
"cell246_1",-1.50134877644606,-27.2412516130123
"cell247_1",-39.7499832323908,5.51362876138227
"cell248_1",-12.7483455406906,8.12001718681837
"cell249_1",-2.80301599665098,-13.8536565367936
"cell250_1",-35.1257053769004,3.28670374727504
"cell251_1",16.56843764475,16.4658171337253
"cell252_1",-41.1640413824291,8.75893628543854
"cell253_1",-16.6744849587688,10.9548256848399
"cell254_1",-48.6101906008843,-4.67182622831186
"cell255_1",1.85276644807862,11.7856904544242
"cell256_1",1.50091450215977,-6.91542634574453
"cell257_1",8.25152674150264,6.08517564897184
"cell258_1",-14.3486581680783,19.1964828373394
"cell259_1",-13.2567265063793,-1.17142722161871
